"Date","species","detected","station","url"
2024-01-28,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-28,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-28,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-27,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-27,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-27,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-27,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-26,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-26,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-26,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-26,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-25,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-25,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-25,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-25,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-24,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-24,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-24,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-24,"Humpback whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-23,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-23,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-23,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-23,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-22,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-22,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-22,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-22,"Humpback whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-21,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-21,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-21,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-21,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-20,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-20,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-20,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-20,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-19,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-19,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-19,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-19,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-18,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-18,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-18,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-18,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2024-01-17,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
